t; x; y; theta
14257710.545000; -0.04; 0.00; 0.00
14276412.922000; -0.04; 0.00; 0.00
14291527.273000; -0.05; 0.00; 0.00
14307156.913000; -0.05; 0.00; 0.00
14324376.351000; -0.05; 0.00; 0.00
14339970.372000; -0.05; 0.00; 0.00
14355678.374000; -0.05; 0.00; 0.00
14371614.337000; -0.05; 0.00; 0.00
14387323.527000; -0.04; 0.00; 0.00
14402759.637000; -0.04; 0.00; 0.00
14418656.420000; -0.04; 0.00; 0.00
14435548.161000; -0.04; 0.00; 0.00
14451695.465000; -0.04; 0.00; 0.00
14466580.667000; -0.04; 0.00; 0.00
14483161.336000; -0.04; 0.00; 0.00
14498777.916000; -0.04; 0.00; 0.00
14514495.416000; -0.03; 0.00; 0.00
14531156.821000; -0.03; 0.00; 0.00
14546486.074000; -0.03; 0.00; 0.00
14562327.054000; -0.03; 0.00; 0.00
14577425.970000; -0.03; 0.00; 0.00
14597217.103000; -0.03; 0.00; 0.00
14610001.968000; -0.03; 0.00; 0.00
14625571.055000; -0.03; 0.00; 0.00
14641889.330000; -0.02; 0.00; 0.00
14660413.612000; -0.02; 0.00; 0.00
14675840.224000; -0.02; 0.00; 0.00
14691685.953000; -0.02; 0.00; 0.00
14707295.409000; -0.02; 0.00; 0.00
14723096.020000; -0.02; 0.00; 0.00
14738725.660000; -0.02; 0.00; 0.00
14754673.497000; -0.02; 0.00; 0.00
14770356.566000; -0.01; 0.00; 0.00
14786513.368000; -0.01; 0.00; 0.00
14802678.481000; -0.01; 0.00; 0.00
14818360.362000; -0.01; 0.00; 0.00
14834508.853000; -0.01; 0.00; 0.00
14850481.624000; -0.01; 0.00; 0.00
14866492.388000; -0.01; 0.00; 0.00
14882461.596000; -0.01; 0.00; 0.00
14898341.757000; -0.00; 0.00; 0.00
14914567.422000; -0.00; 0.00; 0.00
14930508.135000; -0.00; 0.00; 0.00
14946521.274000; -0.00; 0.00; 0.00
14965451.613000; 0.00; 0.00; 0.00
14980405.678000; 0.00; 0.00; 0.00
14996643.217000; 0.00; 0.00; 0.00
15012320.349000; 0.01; 0.00; 0.00
15027938.116000; 0.01; 0.00; 0.00
15043320.797000; 0.01; 0.00; 0.00
15059311.377000; 0.01; 0.00; 0.00
15074996.820000; 0.01; 0.00; 0.00
15090256.022000; 0.01; 0.00; 0.00
15106465.066000; 0.01; 0.00; 0.00
15122560.128000; 0.01; 0.00; 0.00
15138348.866000; 0.02; 0.00; 0.00
15154420.183000; 0.02; 0.00; 0.00
15170433.321000; 0.02; 0.00; 0.00
15186344.352000; 0.02; 0.00; 0.00
15202419.230000; 0.02; 0.00; 0.00
15218709.010000; 0.02; 0.00; 0.00
15234492.999000; 0.02; 0.00; 0.00
15251212.582000; 0.02; 0.00; 0.00
15266709.245000; 0.03; 0.00; 0.00
15282083.615000; 0.03; 0.00; 0.00
15298477.877000; 0.03; 0.00; 0.00
15314951.689000; 0.03; 0.00; 0.00
15329893.881000; 0.03; 0.00; 0.00
15346408.061000; 0.03; 0.00; 0.00
